id,course_number,course_name,created_at,updated_at
87,35601,Applied Theory Workshop,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
88,35901,Theory of Financial Decisions I,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
89,35902,Theory of Financial Decisions II,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
90,35903,Theory of Financial Decisions III,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
91,35904,Asset Pricing,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
92,35906,Behavioral Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
93,35907,Topics in Asset Pricing,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
94,35908,Research Projects: Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
95,35916,New Developments in Public Finance,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
96,35930,Research Seminar,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
97,35931,Research Seminar,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
98,35932,Research Seminar,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
99,36106,Managerial Decision Modeling,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
100,36108,Data Analysis with Python,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
101,36110,Application Development,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
102,36600,Workshop in Operations/Management Science,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
103,36900,Linear Programming,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
104,36902,Dynamic Programming/Markov Decision Processes,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
105,36903,Convex Optimization,2017-11-15 03:29:34 UTC,2017-11-15 03:29:34 UTC
106,36905,Approximate Dynamic Programming,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
107,36906,Stochastic Processes,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
108,36911,Networks: Introduction to Modeling and Analysis,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
109,37000,Marketing Strategy,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
110,37100,Marketing Strategy with Simulation,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
111,37101,Consumer Behavior,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
112,37103,Data-Driven Marketing,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
113,37105,Data Science for Marketing Decision Making,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
114,37106,Marketing Research Lab,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
115,37107,Experimental Marketing,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
116,37108,Startup Marketing,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
117,37109,Branding,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
118,37200,New Products and Services,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
119,37201,Lab in Developing New Products and Services,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
120,37202,Pricing Strategies,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
121,37205,Going to Market: Managing Channel Strategy,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
122,37301,Digital Marketing ,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
123,37304,Digital and Algorithmic Marketing,2017-11-15 03:29:35 UTC,2017-11-15 03:29:35 UTC
